win_rate,losses,opr,epa_max,wins,team,state,epa_mean,epa_current,city,epa_recent,nickname,country,ties
0.5654,319,49.32349202342214,0,415,1506,Michigan,0,1642.0,Flint,0,Metal Muscle,USA,0
0.5453,391,60.17023058623327,0,469,226,Michigan,0,1632.0,Troy,0,Hammerheads,USA,0
0.5063,273,49.48629021273276,0,280,2145,Michigan,0,1630.0,Linden,0,HAZMATS,USA,0
0.6,12,51.657271549943545,0,18,1498,Michigan,0,1591.0,Richmond,0,The Polar Pilots,USA,0
0.5064,424,37.20292524997774,0,435,201,Michigan,0,1558.0,Rochester,0,The FEDS,USA,0
0.4167,14,21.908615707794265,0,10,10612,Michigan,0,1499.0,Auburn Hills,0,Cougear,USA,0
0.4167,14,15.87407033983355,0,10,10672,Michigan,0,1495.0,Livonia,0,Trojans,USA,0
0.5862,12,20.240805955594805,0,17,10652,Michigan,0,1493.0,Rochester Hills,0,Lutheran Northwest Crusaders,USA,0
0.431,16,21.689895210107732,0,12,10690,Michigan,0,1493.0,Bloomfield Hills,0,Cranbrook,USA,1
0.3898,299,3.2976639870577866,0,191,2604,Michigan,0,1357.0,Capac,0,Metal and Soul,USA,0
0.7199,372,79.35636504277105,0,956,33,Michigan,0,1784.0,Bloomfield Hills,0,Killer Bees,USA,0
0.7199,309,56.2655228962628,0,794,469,Michigan,0,1622.0,Pontiac,0,Las Guerrillas,USA,0
0.5679,248,65.25125898991863,0,326,3534,Michigan,0,1620.0,Davison,0,House of Cards,USA,0
0.6271,242,51.257831405665925,0,407,4362,Michigan,0,1589.0,Brighton,0,Gems,USA,0
0.5408,180,22.112954053359903,0,212,5053,Michigan,0,1583.0,Waterford,0,Lakers,USA,0
0.4807,148,41.79346268631755,0,137,4961,Michigan,0,1539.0,Almont,0,Shock and Awe-sum,USA,0
0.4588,151,8.233548668001964,0,128,4998,Michigan,0,1493.0,Flint,0,TESLA,USA,0
0.3958,232,14.926583042997255,0,152,3302,Michigan,0,1475.0,Clawson,0,TurboTrojans,USA,0
0.4988,207,25.081164378285177,0,206,4384,Michigan,0,1471.0,Troy,0,Benzene Bots,USA,0
0.3932,142,19.93312005247125,0,92,5065,Michigan,0,1420.0,Detroit,0,Knights #5065,USA,0
0.5681,168,37.38347300415393,0,221,5436,Michigan,0,1596.0,Rochester Hills,0,Cyber Cats,USA,0
0.5797,390,37.385077795329536,0,538,573,Michigan,0,1576.0,Bloomfield Hills,0,Mech Warriors,USA,0
0.4674,139,23.817956961011646,0,122,5555,Michigan,0,1511.0,Warren,0,Spartans,USA,0
0.4696,131,20.36689709273533,0,116,5623,Michigan,0,1493.0,Augusta,0,Robotic Rams,USA,0
0.4074,80,17.421657472859827,0,55,7716,Michigan,0,1490.0,Detroit,0,JLW Formula 01,USA,0
0.4419,149,32.73547855909878,0,118,5282,Michigan,0,1488.0,Durand,0,Railroader Robotics,USA,0
0.3777,117,30.461666405829792,0,71,5527,Michigan,0,1478.0,Flint,0,Cyber Phoenix,USA,0
0.3902,161,20.834421407463008,0,103,5235,Michigan,0,1474.0,Chesaning,0,Gears of Fortune,USA,0
0.3598,153,13.413927400255895,0,86,5214,Michigan,0,1454.0,Rochester,0,The Mighty CavBots,USA,0
0.401,121,11.143559026658055,0,81,5478,Michigan,0,1402.0,Detroit,0,Pershing Doughbots,USA,0
0.5481,47,58.7032322002144,0,57,9245,Michigan,0,1657.0,Pigeon,0,Laker Dreadnoughts,USA,0
0.5156,342,33.71389045967838,0,364,818,Michigan,0,1606.0,Warren,0,The Steel Armadillos,USA,0
0.5,72,45.24724435493906,0,72,8728,Michigan,0,1592.0,Troy,0,Argonauts,USA,0
0.5467,34,46.32568184293839,0,41,9558,Michigan,0,1590.0,Warren,0,The Steel Vipers,USA,0
0.5,50,35.461137552619135,0,50,9237,Michigan,0,1519.0,Swartz Creek,0,The Dragonators,USA,0
0.3816,47,13.784011436127285,0,29,9252,Michigan,0,1508.0,Pontiac,0,Wingspan,USA,0
0.4167,28,14.641071915662936,0,20,9747,Michigan,0,1488.0,Center Line,0,ElectroPanthers II,USA,0
0.4196,65,15.009259494760746,0,47,8115,Michigan,0,1447.0,Chesterfield,0,Platinum Peacocks,USA,0
0.3438,63,12.288475613827211,0,33,8364,Michigan,0,1420.0,Center Line,0,Rising Stars Academy - Nebulas,USA,0
0.3298,31,7.146707645998985,0,15,9751,Michigan,0,1398.0,Hamtramck,0,PantherBots,USA,1
0.5938,26,39.985433652422046,0,38,9776,Michigan,0,1552.0,Swartz Creek,0,Gator Gears,USA,0
